       Step     Time          Energy         fmax
GPMin:   10 20:47:46       -7.140738        0.0232
GPMin:   11 20:47:50       -7.141132        0.0203
GPMin:   12 20:47:55       -7.141341        0.0153
       Step     Time          Energy         fmax
GPMin:    0 20:48:07       -4.452424        1.3472
GPMin:    1 20:48:15       -5.380205        0.6813
GPMin:    2 20:48:23       -5.770666        0.4338
GPMin:    3 20:48:31       -5.945197        0.2736
GPMin:    4 20:48:38       -6.007080        0.1368
GPMin:    5 20:48:45       -6.021471        0.0862
GPMin:    6 20:48:51       -6.028036        0.0783
GPMin:    7 20:48:58       -6.052681        0.0864
GPMin:    8 20:49:05       -6.061861        0.0976
GPMin:    9 20:49:13       -6.177685        0.2194
GPMin:   10 20:49:20       -6.187954        0.3780
GPMin:   11 20:49:26       -6.234785        0.2628
GPMin:   12 20:49:34       -6.290329        0.1710
GPMin:   13 20:49:47       -6.311004        0.1548
GPMin:   14 20:49:54       -6.332891        0.1311
GPMin:   15 20:50:00       -6.356415        0.1166
GPMin:   16 20:50:06       -6.377891        0.1092
GPMin:   17 20:50:12       -6.396511        0.1025
GPMin:   18 20:50:18       -6.415817        0.0955
GPMin:   19 20:50:24       -6.431037        0.0923
GPMin:   20 20:50:29       -6.453131        0.0896
GPMin:   21 20:50:34       -6.465270        0.0865
GPMin:   22 20:50:41       -6.505384        0.0778
GPMin:   23 20:50:47       -6.524144        0.0764
GPMin:   24 20:50:52       -6.543435        0.0779
GPMin:   25 20:50:58       -6.563622        0.0813
GPMin:   26 20:51:03       -6.586939        0.0852
GPMin:   27 20:51:09       -6.610017        0.0854
GPMin:   28 20:51:14       -6.631341        0.0846
GPMin:   29 20:51:20       -6.651620        0.0824
GPMin:   30 20:51:25       -6.672980        0.0735
GPMin:   31 20:51:31       -6.690421        0.0664
GPMin:   32 20:51:37       -6.710529        0.0605
GPMin:   33 20:51:42       -6.722844        0.0600
GPMin:   34 20:51:48       -6.737174        0.0588
GPMin:   35 20:51:53       -6.742855        0.0557
GPMin:   36 20:51:59       -6.755560        0.0481
GPMin:   37 20:52:05       -6.760248        0.0528
GPMin:   38 20:52:10       -6.770400        0.0574
GPMin:   39 20:52:16       -6.777241        0.0514
GPMin:   40 20:52:21       -6.788762        0.0414
GPMin:   41 20:52:27       -6.794612        0.0458
GPMin:   42 20:52:33       -6.804320        0.0531
GPMin:   43 20:52:39       -6.808486        0.0510
GPMin:   44 20:52:45       -6.817040        0.0566
GPMin:   45 20:52:51       -6.823065        0.0618
GPMin:   46 20:52:56       -6.835557        0.0575
GPMin:   47 20:53:02       -6.845042        0.0654
GPMin:   48 20:53:07       -6.856881        0.0638
GPMin:   49 20:53:13       -6.867551        0.0589
GPMin:   50 20:53:19       -6.881207        0.0649
GPMin:   51 20:53:24       -6.894302        0.0723
GPMin:   52 20:53:30       -6.912987        0.0787
GPMin:   53 20:53:36       -6.933388        0.0941
GPMin:   54 20:53:42       -6.956236        0.1076
GPMin:   55 20:53:48       -6.982275        0.1136
