       Step     Time          Energy         fmax
GPMin:   15 10:27:16       -4.887692        0.0257
GPMin:   16 10:27:21       -4.888730        0.0225
GPMin:   17 10:27:26       -4.889582        0.0172
       Step     Time          Energy         fmax
GPMin:    0 10:27:36       -4.163776        0.3144
GPMin:    1 10:27:43       -4.312404        0.1895
GPMin:    2 10:27:50       -4.391275        0.1530
GPMin:    3 10:27:56       -4.462899        0.1599
GPMin:    4 10:28:02       -4.541490        0.1718
GPMin:    5 10:28:08       -4.619323        0.1563
GPMin:    6 10:28:15       -4.678706        0.1052
GPMin:    7 10:28:21       -4.709196        0.1020
GPMin:    8 10:28:26       -4.728078        0.0937
GPMin:    9 10:28:33       -4.752594        0.0903
GPMin:   10 10:28:38       -4.776712        0.0772
GPMin:   11 10:28:44       -4.802201        0.0845
GPMin:   12 10:28:49       -4.825601        0.0874
GPMin:   13 10:28:55       -4.852461        0.0780
GPMin:   14 10:28:59       -4.876667        0.0725
GPMin:   15 10:29:04       -4.896040        0.0714
GPMin:   16 10:29:09       -4.913075        0.0553
GPMin:   17 10:29:14       -4.921357        0.0489
GPMin:   18 10:29:19       -4.924572        0.0514
GPMin:   19 10:29:24       -4.928916        0.0392
GPMin:   20 10:29:29       -4.931656        0.0247
GPMin:   21 10:29:33       -4.933195        0.0160
       Step     Time          Energy         fmax
GPMin:    0 10:29:42       -4.391686        0.2789
GPMin:    1 10:29:49       -4.557952        0.2038
GPMin:    2 10:29:55       -4.644880        0.1236
GPMin:    3 10:30:01       -4.693814        0.1084
GPMin:    4 10:30:07       -4.730287        0.0834
GPMin:    5 10:30:12       -4.752396        0.0818
GPMin:    6 10:30:17       -4.771903        0.0651
GPMin:    7 10:30:22       -4.793369        0.0590
GPMin:    8 10:30:27       -4.809713        0.0500
GPMin:    9 10:30:32       -4.827153        0.0528
GPMin:   10 10:30:38       -4.845326        0.0556
GPMin:   11 10:30:44       -4.863952        0.0566
GPMin:   12 10:30:50       -4.877883        0.0454
GPMin:   13 10:30:56       -4.883993        0.0279
GPMin:   14 10:31:01       -4.885555        0.0293
GPMin:   15 10:31:06       -4.888573        0.0210
GPMin:   16 10:31:11       -4.889694        0.0125
       Step     Time          Energy         fmax
GPMin:    0 10:31:21       -3.215302        0.3730
GPMin:    1 10:31:29       -3.444321        0.4105
GPMin:    2 10:31:36       -3.618261        0.4009
GPMin:    3 10:31:43       -3.762900        0.3099
GPMin:    4 10:31:50       -3.832341        0.1582
GPMin:    5 10:31:56       -3.852555        0.1232
GPMin:    6 10:32:00       -3.868919        0.1460
GPMin:    7 10:32:06       -3.894995        0.1488
GPMin:    8 10:32:12       -3.940810        0.1169
GPMin:    9 10:32:18       -3.978985        0.1007
GPMin:   10 10:32:24       -4.025769        0.1313
GPMin:   11 10:32:30       -4.057097        0.2360
GPMin:   12 10:32:36       -4.086532        0.2832
GPMin:   13 10:32:42       -4.139919        0.3100
GPMin:   14 10:32:48       -4.225225        0.2352
GPMin:   15 10:32:54       -4.285898        0.2104
GPMin:   16 10:32:59       -4.322406        0.2339
GPMin:   17 10:33:05       -4.359925        0.2477
GPMin:   18 10:33:11       -4.415778        0.2535
GPMin:   19 10:33:17       -4.467327        0.2520
GPMin:   20 10:33:23       -4.525876        0.2448
GPMin:   21 10:33:29       -4.596553        0.2214
